x y z attention
0.384836 0.206482 0.245307 0.767554
0.329065 0.494110 0.198791 0.794020
-0.117984 0.400456 -0.206229 0.221135
-0.340154 0.044575 0.021883 0.371917
0.384836 0.758411 -0.135886 0.524045
-0.340154 -0.584872 -0.041003 0.529263
0.384836 0.505757 0.118223 0.821555
-0.366957 -0.912246 -0.112731 0.719018
0.277544 -0.855919 -0.090732 0.914295
0.037192 -0.856478 0.007892 0.803600
0.097560 -0.897087 0.262225 0.697829
0.384836 0.538325 -0.177704 0.561896
-0.228452 -0.873205 -0.206229 0.844958
-0.340154 -0.728412 0.104966 0.445095
0.275953 -0.856128 0.176988 0.877380
-0.352661 -0.279129 0.262225 0.000000
0.329065 -0.497001 -0.076893 0.883792
0.384836 -0.322078 -0.151717 0.682842
0.232725 0.816574 0.107371 0.590739
0.079535 -0.856478 -0.203354 0.870771
0.256339 -0.856478 0.061126 0.917722
-0.245026 0.872342 0.065938 0.210641
-0.395923 -0.481208 0.101478 0.293377
-0.340154 0.034689 0.007118 0.377813
0.384836 -0.867319 0.000399 0.972699
-0.343144 -0.532181 -0.206229 0.727472
0.329065 0.619192 0.047787 0.725683
0.384836 -0.879641 0.185676 0.959883
-0.340154 0.237741 0.245625 0.426054
0.384836 0.109350 -0.087911 0.502791
-0.395923 0.280946 0.223691 0.293904
0.334615 -0.451872 0.262225 0.612312
-0.340154 0.137094 0.239780 0.420378
-0.204625 0.569947 -0.206229 0.122218
0.384836 -0.241698 0.063665 0.515687
-0.334279 0.506035 -0.206229 0.000000
0.091343 0.254978 -0.206229 0.381322
0.184788 0.872342 -0.101311 0.442299
0.329065 0.038984 -0.104433 0.294390
-0.340154 -0.538468 0.138690 0.345271
-0.340154 0.178406 -0.183496 0.143977
-0.395923 -0.015925 0.053626 0.333482
-0.340154 0.744325 -0.184891 0.000000
-0.356276 0.427975 0.262225 0.355839
-0.012925 0.872342 -0.086254 0.347105
-0.340154 -0.003438 0.259988 0.137563
-0.340154 -0.232010 0.083538 0.255410
-0.287046 0.872342 -0.035660 0.177832
-0.315261 -0.176892 -0.206229 0.728962
0.384836 -0.748972 0.008558 0.976415
0.047315 0.872342 0.099396 0.441674
-0.340154 0.069627 0.087583 0.375836
0.042992 -0.912246 -0.028002 0.860898
0.294840 -0.912246 -0.164600 0.903987
-0.340154 0.636946 0.259424 0.279354
0.055103 -0.912246 0.090103 0.766260
0.384836 0.577262 -0.130133 0.602728
0.329065 0.499599 -0.016371 0.722665
-0.340154 -0.701838 -0.177699 0.720461
0.384836 0.648657 0.012949 0.718140
-0.000601 -0.856478 0.057908 0.736034
0.233434 -0.449107 -0.206229 0.828927
0.329065 0.669852 0.200023 0.737017
0.329065 0.741126 0.256297 0.722761
-0.388633 0.724847 -0.206229 0.000000
0.079012 0.872342 -0.071128 0.409704
0.329065 -0.344480 -0.141204 0.744319
0.099261 0.799715 -0.206229 0.335658
-0.395923 -0.318513 -0.155131 0.631283
0.384836 -0.678107 0.054909 0.981101
-0.340154 -0.388654 -0.157783 0.657084
0.384836 -0.708260 0.243362 0.803241
-0.395923 -0.352597 0.212092 0.000000
0.329065 0.208804 -0.121082 0.618130
-0.065957 0.872342 0.028432 0.366278
-0.340154 0.089831 0.140607 0.332598
-0.369165 -0.511860 -0.206229 0.711935
-0.282213 -0.856478 0.095613 0.535903
-0.340154 0.386787 0.073977 0.231957
0.384836 -0.626520 -0.108701 0.910223
-0.000458 -0.249355 -0.206229 0.816486
0.329065 0.327396 0.103547 0.846147
-0.364083 -0.114259 0.262225 0.071706
0.264555 -0.864085 0.262225 0.816755
-0.251490 -0.912246 0.159166 0.506006
-0.340154 0.637697 -0.152230 0.000000
-0.342404 0.320137 0.262225 0.401778
0.301469 -0.557849 -0.206229 0.851995
-0.101611 0.872342 0.254990 0.375484
0.102762 0.376060 -0.206229 0.472852
0.384836 0.753188 0.098859 0.716253
0.357731 0.845049 -0.206229 0.416271
-0.395923 0.543455 -0.154895 0.000000
0.111804 0.784797 -0.206229 0.347812
-0.340154 -0.041591 -0.034294 0.472315
0.384836 -0.766548 0.233945 0.855053
-0.340154 0.726750 -0.168155 0.000000
-0.340154 0.149980 0.141407 0.325130
-0.266700 -0.856478 -0.187540 0.839638
-0.340154 0.634808 0.109995 0.237460
-0.395923 0.339153 0.256598 0.305387
-0.395923 0.586027 0.143569 0.168487
-0.395923 0.669297 -0.028379 0.000000
-0.395923 -0.020651 0.104948 0.322174
-0.138917 -0.892236 -0.206229 0.853837
0.077813 -0.856478 0.255331 0.673381
0.036203 0.850029 -0.206229 0.291030
0.256060 0.872342 -0.195996 0.387654
-0.268052 -0.856478 -0.079624 0.724048
0.108600 -0.881957 -0.206229 0.874442
0.221244 -0.856478 -0.050714 0.904712
-0.340154 -0.363136 -0.080269 0.565631
-0.122798 -0.912246 0.094546 0.647594
0.055566 -0.786010 -0.206229 0.864666
0.053529 -0.856478 -0.014535 0.833329
0.329016 0.761177 -0.124911 0.510646
-0.376795 -0.705990 0.262225 0.245932
0.071068 -0.912246 0.139948 0.748124
0.384836 0.837308 -0.035342 0.590476
-0.340154 0.147999 0.249922 0.433793
-0.035926 -0.856478 -0.159306 0.863153
-0.395923 0.023003 0.224762 0.239022
0.384836 0.576913 -0.121981 0.610790
-0.395923 -0.436655 0.148836 0.154117
0.384836 0.816209 -0.127847 0.510291
0.384836 0.383858 -0.157127 0.616799
0.384836 -0.238389 -0.071704 0.469120
0.384836 -0.463430 -0.010529 0.823301
0.329065 0.742147 0.040194 0.672530
0.329065 -0.674091 -0.141582 0.892242
0.288569 0.814327 0.090404 0.634088
0.329065 0.555211 -0.105894 0.609544
0.329065 -0.650495 0.231652 0.746274
-0.395923 0.845489 -0.200539 0.000000
-0.340154 -0.666877 -0.190673 0.725588
-0.340154 -0.575391 -0.136787 0.642025
0.292546 0.812680 -0.021159 0.564765
-0.303475 0.812746 0.115632 0.184514
0.195703 0.816574 0.223426 0.625593
0.384836 -0.539254 -0.024935 0.909106
0.350710 0.670640 -0.206229 0.480011
-0.395923 -0.724307 0.213028 0.304095
-0.340154 0.375766 0.211296 0.344676
0.384836 -0.198245 -0.130118 0.464637
-0.395923 0.717845 -0.202548 0.000000
-0.352747 0.002874 -0.206229 0.392970
-0.104176 0.145671 -0.206229 0.502048
-0.340154 0.119414 -0.041606 0.272404
0.329065 0.518064 0.050347 0.770797
0.016235 -0.912246 -0.150356 0.871206
-0.340154 0.434239 -0.046183 0.085823
-0.296183 0.815021 -0.071195 0.147510
0.021950 -0.912246 -0.060498 0.873749
-0.088702 -0.912246 0.199830 0.572334
0.025578 0.872342 0.187727 0.470445
-0.189401 -0.912246 0.200241 0.500121
0.344866 -0.078707 -0.206229 0.373791
0.063326 0.043207 -0.206229 0.425874
-0.216669 -0.777705 -0.206229 0.837808
0.329065 -0.027442 -0.202525 0.277528
-0.340154 0.436817 0.042294 0.203988
0.384836 -0.343089 0.117920 0.605324
-0.203510 0.115889 -0.206229 0.450901
-0.232965 0.816574 -0.160797 0.136107
-0.340154 -0.768350 0.036096 0.528119
-0.197426 0.456926 -0.206229 0.097124
0.332663 -0.471181 -0.206229 0.834875
0.384836 0.091791 0.249884 0.641610
0.384836 0.615325 0.005271 0.725735
0.352371 0.872342 0.183534 0.678405
0.329065 -0.522883 -0.124325 0.883705
0.329065 -0.184897 -0.053102 0.332711
0.384836 -0.882441 -0.160862 0.914281
0.084316 0.253831 -0.206229 0.384796
-0.395923 0.869487 -0.150617 0.000000
-0.395923 -0.896001 -0.117158 0.696902
-0.340154 -0.090325 0.096602 0.381688
0.329065 0.564354 -0.044712 0.665450
-0.354558 0.398024 -0.206229 0.000000
-0.395923 0.421648 -0.155485 0.000000
-0.282997 0.494817 -0.206229 0.000000
0.329065 -0.738312 -0.073759 0.925904
-0.340154 -0.588332 -0.189617 0.714363
-0.388988 -0.776082 -0.206229 0.746503
-0.395923 0.229238 0.138276 0.241641
-0.196069 -0.856478 -0.068980 0.752227
0.038113 -0.912246 -0.026417 0.857070
-0.134611 -0.912246 -0.162038 0.856733
0.329065 0.217348 -0.116318 0.629331
0.329065 0.101197 -0.144548 0.318559
-0.395923 0.616510 -0.010638 0.019678
0.329065 -0.458024 0.011015 0.795201
0.329065 -0.524143 0.020106 0.855384
-0.340154 -0.218640 -0.043230 0.556426
-0.333672 0.732152 -0.206229 0.000000
-0.374045 -0.479504 -0.206229 0.708357
-0.395923 -0.012732 0.163850 0.304244
-0.270054 -0.373567 -0.206229 0.750611
-0.133288 -0.638045 -0.206229 0.834688
-0.354293 -0.912246 -0.130045 0.746141
-0.073537 -0.880381 -0.206229 0.859127
0.329065 -0.571059 0.107784 0.813913
0.348894 0.237624 0.262225 0.778438
-0.340154 -0.232319 0.016399 0.434917
0.330316 0.793931 0.262225 0.709806
0.384836 0.297947 0.225129 0.861756
0.335448 0.872342 -0.126807 0.470394
0.384836 0.085322 0.224021 0.634024
0.274656 0.816395 0.221252 0.668867
0.384836 0.796320 0.155264 0.709745
-0.046850 -0.856478 -0.021329 0.789622
-0.395923 0.540024 0.239936 0.256766
-0.340154 -0.011275 0.215184 0.210847
0.329065 -0.086400 0.021608 0.427214
0.384836 0.444662 0.036437 0.831708
-0.091688 -0.856478 -0.026472 0.768590
-0.361352 0.809257 0.262225 0.148938
-0.323390 -0.840476 -0.104354 0.710609
-0.395923 -0.548763 0.229764 0.116461
0.384836 0.186569 -0.179034 0.481729
-0.340154 -0.736771 -0.083078 0.633770
-0.226194 0.816574 0.178277 0.264658
0.114419 -0.912246 -0.190131 0.877684
-0.340154 -0.758117 -0.138837 0.701700
-0.055937 -0.856478 0.100612 0.664104
-0.025035 -0.856478 -0.101228 0.867282
-0.395923 0.776832 -0.192600 0.000000
0.384836 0.847631 0.065401 0.683334
-0.195864 -0.767815 -0.206229 0.839799
-0.395923 0.672025 0.254885 0.204588
-0.365752 0.390143 0.262225 0.346529
-0.348359 -0.912246 -0.188880 0.812592
-0.335754 0.781275 0.141404 0.176585
-0.006729 -0.912246 -0.047474 0.857116
0.087082 0.816574 0.181197 0.535941
0.244002 -0.689760 -0.206229 0.853082
0.183536 0.872342 -0.059431 0.473757
0.049075 -0.857090 0.262225 0.644439
0.001560 0.520730 -0.206229 0.413129
-0.026743 0.872342 0.059326 0.392604
0.274817 -0.912246 0.011673 0.935523
0.384836 -0.257032 -0.100745 0.532436
0.234678 -0.856478 0.135039 0.864717
-0.207047 -0.912246 0.250013 0.447894
0.329065 -0.544653 -0.029217 0.908352
0.351354 0.872342 0.141558 0.658289
0.316366 0.559924 -0.206229 0.510650
-0.260357 0.872342 -0.123394 0.121940
0.384836 0.304343 0.203619 0.869079
-0.146143 0.872342 0.249430 0.327648
0.077934 -0.912246 0.133824 0.757560
0.384836 0.769711 0.063964 0.713915
0.384836 0.195215 -0.128183 0.617752
0.300682 -0.912246 -0.015623 0.937101
-0.214624 -0.912246 0.245845 0.446615
0.329065 0.482879 -0.060174 0.677659
0.329065 -0.671548 -0.071931 0.919945
0.236038 -0.912246 0.239174 0.827143
0.384836 -0.292273 0.060910 0.516924
0.329065 0.559103 -0.112332 0.601672
-0.395923 -0.259076 0.058021 0.320347
0.384836 -0.221266 0.142211 0.680269
-0.395923 0.798139 -0.168938 0.000000
0.329065 0.343762 -0.061168 0.715115
0.384836 0.096377 -0.172567 0.326438
-0.199740 -0.253948 -0.206229 0.770076
0.384836 0.853629 0.259783 0.722580
-0.395923 -0.768003 -0.099851 0.625544
-0.091823 0.816574 0.106723 0.367335
0.384836 -0.192388 0.189421 0.676589
-0.378551 -0.740558 0.262225 0.263218
0.329065 -0.588222 0.132078 0.808262
0.384836 -0.423558 0.040338 0.732472
-0.284590 -0.856451 0.160514 0.468166
0.020537 -0.876647 0.262225 0.624085
0.384836 0.305602 0.005637 0.852254
-0.395923 0.560504 0.081825 0.103196
-0.307461 0.872342 0.201854 0.162979
-0.234585 0.849358 -0.206229 0.071830
-0.350138 0.415054 0.262225 0.367882
0.329065 0.084292 0.130064 0.639279
0.245152 0.553993 -0.206229 0.498591
-0.340154 0.734768 0.059438 0.179239
0.329065 -0.717890 0.115083 0.916146
0.360965 0.151690 0.262225 0.702021
0.299776 -0.786070 -0.206229 0.872637
0.329065 -0.530220 0.214221 0.716461
0.114541 0.872342 0.200363 0.546890
0.384836 0.800072 -0.064557 0.581580
0.114052 0.816574 -0.153316 0.385034
-0.340154 0.351626 -0.097542 0.031531
0.384836 0.722177 0.072193 0.730499
0.384836 -0.457418 0.021268 0.790800
0.224430 -0.063918 -0.206229 0.452570
0.384836 0.865400 -0.138074 0.481849
-0.340154 -0.280264 -0.081922 0.572306
0.316353 0.503341 -0.206229 0.523786
-0.293400 -0.404881 -0.206229 0.742907
0.329065 0.132395 0.192007 0.702226
-0.128348 -0.856478 0.122304 0.598207
-0.274391 0.816574 0.262143 0.233059
0.276125 0.872342 0.068375 0.601602
-0.395923 -0.155833 0.048267 0.419236
0.282618 0.815347 -0.089730 0.505555
0.329065 0.606895 0.149352 0.749321
0.069820 -0.261059 -0.206229 0.802104
-0.160474 0.816574 -0.067740 0.294710
0.064275 0.859143 0.262225 0.542973
-0.340154 -0.018550 0.178758 0.268713
0.089610 -0.912246 0.073320 0.803707
-0.340154 -0.069893 0.085863 0.419105
0.347314 0.872342 -0.022471 0.566691
0.205928 0.316502 -0.206229 0.480005
-0.333924 -0.912246 -0.136172 0.766750
-0.395923 0.499048 0.053008 0.090677
0.384836 -0.501301 -0.166266 0.861410
-0.395923 -0.765796 -0.011309 0.535167
0.070764 -0.856478 0.252633 0.668341
0.042316 0.872342 -0.171889 0.307511
-0.395923 -0.201057 0.025564 0.420549
-0.017101 -0.912246 -0.066003 0.869734
-0.340154 -0.749168 -0.075775 0.630975
-0.098420 0.816574 -0.006069 0.369109
-0.340154 0.696838 0.259392 0.241401
0.384836 0.110326 0.022139 0.713382
0.382938 -0.152885 0.262225 0.518268
0.384836 -0.218268 0.159159 0.695145
-0.340154 -0.296471 -0.033076 0.498025
-0.278293 0.539872 -0.206229 0.000000
0.197771 0.816574 0.184164 0.613162
0.329065 -0.751908 0.020659 0.961453
0.384836 -0.275305 0.040433 0.495442
-0.395923 -0.324274 0.184040 0.000000
-0.029308 -0.856478 -0.030345 0.808865
0.384836 0.011298 0.123155 0.609684
-0.340154 -0.192605 -0.028155 0.550118
-0.340154 0.322203 0.152563 0.297850
0.329065 -0.142187 0.041174 0.419470
-0.395923 -0.177560 -0.156365 0.665693
0.384836 -0.003741 0.023285 0.517384
-0.145888 0.872342 0.041291 0.301200
0.384836 0.350633 -0.175263 0.591678
-0.340154 -0.555930 -0.111460 0.606722
-0.395923 0.844451 -0.044361 0.000000
0.384836 -0.765174 0.239921 0.846679
-0.340154 0.146085 -0.143024 0.202034
0.384836 -0.726105 -0.021407 0.961424
0.384836 -0.688314 -0.004129 0.965914
-0.101269 0.872342 0.047033 0.336526
-0.125160 0.816574 0.251541 0.378528
-0.340154 0.014143 0.140506 0.345702
-0.395923 0.254084 0.227498 0.306243
0.329065 -0.377492 -0.035754 0.721876
-0.340154 0.027270 -0.120839 0.350389
-0.247908 -0.912246 0.142621 0.525542
-0.340154 0.258720 0.072028 0.255866
-0.146766 0.816574 0.260910 0.358744
-0.395923 -0.399861 -0.085932 0.544391
0.384836 0.509575 0.058343 0.811220
0.384836 -0.129265 0.228163 0.523239
0.329065 0.578145 0.076660 0.745028
0.384836 0.694288 0.172056 0.755973
-0.395923 0.600058 0.015983 0.045779
0.329065 0.660223 0.227821 0.743968
0.300943 0.493035 -0.206229 0.522401
0.384836 -0.652716 -0.048768 0.939715
-0.340154 0.714761 -0.052712 0.097185
0.329065 0.133290 -0.094866 0.471795
0.216679 0.872342 -0.005033 0.519810
0.384836 0.699337 -0.162972 0.519007
-0.395923 0.080192 0.081603 0.263906
0.007881 0.816574 0.071685 0.445911
0.329065 -0.313270 0.123615 0.500828
-0.340154 -0.720717 0.237177 0.312150
-0.107312 -0.912246 0.226664 0.541073
0.384836 0.128332 -0.036260 0.658274
0.367772 0.872342 -0.123771 0.484978
0.329065 -0.553318 -0.149174 0.879103
-0.181266 -0.912246 -0.193199 0.851586
-0.083329 0.816574 -0.195886 0.272328
-0.395923 0.225160 -0.059608 0.048540
-0.395923 0.059811 0.182372 0.312969
-0.395923 -0.044908 0.088962 0.354503
0.384836 -0.353027 -0.007358 0.638584
-0.340154 -0.063166 0.157507 0.322746
0.168938 0.816574 -0.200429 0.362044
-0.340154 0.509224 0.214166 0.328864
-0.340154 -0.046189 -0.090137 0.493338
-0.340154 -0.289594 0.028492 0.385411
-0.340154 0.456250 -0.126937 0.000000
0.134132 0.816574 -0.120760 0.424882
0.329065 0.453303 -0.109469 0.632872
0.329065 -0.302834 0.050774 0.489787
-0.395923 0.836557 -0.027814 0.000000
-0.160607 -0.912246 0.060779 0.659561
-0.340154 0.073443 -0.188242 0.260645
-0.020095 0.872342 -0.067930 0.352820
-0.079662 -0.856478 0.203324 0.562122
-0.395923 0.844002 0.013364 0.023017
-0.347385 -0.323701 0.262225 0.000000
0.329065 0.585090 0.047096 0.738702
-0.364812 -0.007401 -0.206229 0.401161
0.107240 0.816574 -0.136581 0.397221
-0.009596 -0.331184 -0.206229 0.820531
0.329065 0.620117 0.132042 0.738190
0.329065 0.675181 0.102403 0.707864
-0.248053 -0.912246 -0.196738 0.845747
-0.340154 -0.583552 -0.043713 0.531581
-0.091623 -0.912246 0.027614 0.732742
-0.340154 -0.093269 0.061258 0.450239
-0.340154 -0.016659 -0.050002 0.430332
-0.340154 0.460727 -0.095719 0.000000
-0.036492 -0.912246 -0.054061 0.846537
0.329065 0.186459 0.094827 0.785372
-0.104989 -0.912246 -0.133240 0.860336
0.207254 -0.912246 0.252093 0.797703
-0.340154 0.115686 -0.061138 0.270226
0.194813 -0.856478 0.197913 0.799326
-0.004055 0.868193 -0.206229 0.272215
0.081664 -0.856478 0.058966 0.789059
-0.055326 -0.711174 -0.206229 0.852055
-0.395923 0.145766 0.200823 0.308521
0.329065 -0.238760 -0.004287 0.395279
0.384836 0.217715 0.064602 0.851552
-0.361567 -0.649371 -0.206229 0.732401
0.384836 -0.464958 -0.086647 0.844125
0.384836 0.328736 -0.146924 0.634389
0.323175 -0.217991 -0.206229 0.606701
0.202288 -0.856478 -0.079393 0.895558
-0.340154 -0.347712 0.047358 0.356632
0.065804 0.718602 -0.206229 0.370613
-0.340154 0.659068 0.209914 0.268605
-0.340154 0.092397 -0.065370 0.302774
-0.340154 -0.005698 -0.169680 0.442977
-0.395923 -0.479327 0.051820 0.369265
-0.025646 0.870842 0.262225 0.460453
-0.340154 -0.264581 -0.067266 0.560147
0.321289 -0.828993 0.051177 0.963921
-0.340154 0.303106 -0.078823 0.078686
0.384836 0.523073 0.135669 0.818965
0.384836 -0.727621 -0.090550 0.928645
-0.340154 -0.761900 0.078666 0.482357
-0.087654 0.872342 -0.048512 0.323258
-0.395923 -0.293409 0.081830 0.263172
0.329065 -0.619854 -0.144493 0.887529
-0.395923 0.867302 -0.149981 0.000000
0.384836 -0.310105 0.236547 0.732429
-0.173941 0.819887 0.262225 0.330221
-0.048928 -0.705371 -0.206229 0.852268
0.140332 0.816574 -0.112202 0.435596
-0.159763 0.207678 -0.206229 0.332098
-0.340154 -0.471304 0.215811 0.098355
-0.395923 0.521531 0.159415 0.182191
0.384836 0.017898 0.108540 0.614723
0.350413 0.606194 0.262225 0.779276
-0.233359 0.827581 -0.206229 0.081389
-0.152538 0.051733 -0.206229 0.574292
0.351394 0.523631 0.262225 0.806456
0.384836 -0.470530 -0.148478 0.858560
-0.070514 0.356193 -0.206229 0.302258
-0.340154 0.186967 0.208611 0.390378
-0.340154 0.455668 -0.058773 0.064153
-0.132450 0.816574 -0.019735 0.339403
0.225900 -0.856478 0.218457 0.812001
0.329065 0.577854 -0.025556 0.679171
-0.252510 -0.856478 -0.170779 0.835409
-0.395923 0.139800 0.068259 0.225196
0.384836 -0.150492 -0.107325 0.360034
0.329065 0.340187 -0.104670 0.665781
0.329065 -0.782923 0.191920 0.881099
-0.395923 0.244919 0.151942 0.238877
-0.395923 -0.118416 -0.200260 0.638308
-0.340154 -0.592475 -0.089916 0.585195
-0.340154 0.720537 -0.079041 0.063105
0.384836 0.530317 0.084058 0.803146
-0.312388 -0.897680 -0.206229 0.836280
-0.340154 -0.278517 0.225429 0.000000
0.329065 0.633461 0.256553 0.756524
-0.335815 0.078620 -0.206229 0.253685
0.329065 -0.760569 -0.152914 0.896222
0.384836 -0.122803 -0.076129 0.345265
-0.395923 0.366455 0.229684 0.268789
-0.340154 -0.097726 0.026697 0.505148
0.361904 -0.912246 -0.042572 0.951660
0.329065 0.164048 0.013459 0.728498
-0.395923 -0.731856 0.009672 0.500638
0.329065 -0.258273 0.050591 0.414057
0.339918 0.478301 -0.206229 0.529887
-0.395923 0.516975 0.071002 0.098383
-0.387296 -0.912246 -0.045152 0.635977
0.347792 0.391610 -0.206229 0.535447
0.039419 -0.264589 -0.206229 0.809561
0.384836 -0.073778 0.002572 0.502833
0.384836 0.839312 0.086780 0.684985
0.384836 0.418374 0.024267 0.834694
-0.047533 0.816574 0.200562 0.437933
0.329065 0.379546 0.085866 0.822920
0.022732 0.872342 0.181482 0.462944
-0.340154 0.554191 -0.177062 0.000000
-0.340154 0.532758 0.096372 0.224307
0.384836 -0.748183 0.109260 0.970242
-0.360346 0.867894 -0.206229 0.000000
0.329065 -0.025958 0.046177 0.441497
0.329065 -0.217716 -0.000803 0.358243
-0.196098 -0.657019 -0.206229 0.827251
0.329065 -0.250462 -0.189862 0.642843
0.150219 -0.856478 0.119836 0.803536
-0.141714 0.816574 -0.180877 0.226564
0.327150 -0.912246 0.102981 0.973248
0.384836 0.568599 0.152462 0.804141
0.365269 -0.421633 0.262225 0.669179
-0.340154 0.491517 -0.141074 0.000000
0.280482 0.815628 -0.150197 0.455037
0.177728 0.816574 0.259509 0.620086
-0.340154 0.071686 0.076720 0.372486
-0.340154 0.362034 -0.061891 0.062428
0.384836 0.083585 -0.041614 0.542390
-0.391922 0.121033 0.262225 0.386280
0.020268 -0.856478 -0.159031 0.868557
-0.340154 -0.335787 0.075551 0.293784
-0.395923 0.179896 0.095027 0.200764
0.223565 -0.912246 0.177307 0.853147
0.074602 0.872342 -0.164542 0.329937
0.384836 0.082278 0.048284 0.679343
-0.100202 -0.679752 -0.206229 0.843752
-0.389704 -0.344567 -0.206229 0.689608
0.384836 -0.453807 0.214381 0.729626
0.384836 -0.858797 0.094225 0.999964
-0.340154 0.265798 -0.096144 0.081883
0.329065 0.531545 0.013995 0.736119
0.206509 -0.912246 0.253109 0.796645
0.262653 0.816574 -0.117081 0.477815
0.005429 0.816574 0.094835 0.438475
0.329065 0.375936 -0.079429 0.688708
-0.340154 0.507658 -0.099084 0.000000
-0.371923 0.451709 0.262225 0.326248
0.329065 -0.579930 0.140389 0.792407
0.366319 -0.912246 -0.074931 0.944258
-0.096692 0.816574 -0.096195 0.320383
-0.161685 -0.856478 0.032764 0.668679
0.384836 0.292555 -0.088807 0.722979
0.254539 -0.856478 -0.178875 0.886881
-0.106283 0.615380 -0.206229 0.288743
-0.340154 -0.115540 0.176316 0.236622
0.035778 -0.367798 -0.206229 0.805213
0.329065 0.173823 -0.114308 0.559876
-0.395923 -0.193762 0.050779 0.364172
-0.340154 -0.041288 0.165289 0.259124
-0.137150 0.816574 0.049933 0.336831
-0.338707 -0.811705 -0.090036 0.672903
-0.395923 -0.258070 0.148779 0.058988
-0.395923 -0.782088 -0.172033 0.707859
-0.395418 0.284655 0.262225 0.332656
-0.340154 -0.559608 0.093206 0.394080
-0.340154 0.628718 0.175698 0.282903
0.384836 -0.791218 0.069670 0.995090
-0.340154 0.524280 0.208728 0.324694
0.313648 0.513345 -0.206229 0.521580
0.384836 0.467398 0.254580 0.840623
-0.340154 -0.421602 -0.020183 0.481337
-0.388578 -0.080273 -0.206229 0.584926
0.314520 0.797911 -0.025289 0.578156
0.329065 0.538606 0.204297 0.782131
0.384836 -0.752621 0.201918 0.883465
-0.340154 0.540276 0.112059 0.238943
-0.091128 0.872342 0.163610 0.348910
-0.206370 0.816574 -0.086925 0.251323
-0.340154 0.546899 0.224104 0.333290
-0.340154 0.230113 0.181897 0.360131
0.090660 -0.842725 -0.206229 0.870762
-0.340154 -0.483636 -0.150094 0.647854
0.329065 -0.407648 0.039143 0.695709
-0.063717 0.290936 -0.206229 0.344985
-0.026551 -0.912246 0.076789 0.721207
-0.340154 0.598640 -0.029828 0.120406
-0.084153 -0.856478 -0.156433 0.858984
-0.340154 0.649707 -0.081190 0.061928
-0.292587 -0.270958 -0.206229 0.731674
0.329065 0.726319 -0.048393 0.596850
-0.199207 0.830895 -0.206229 0.126437
0.327900 -0.809572 0.013481 0.956391
0.063435 0.816574 -0.100311 0.406965
-0.340154 0.482152 0.151099 0.270501
0.290016 0.857993 0.262225 0.670917
0.384836 0.553651 0.098230 0.797526
-0.340154 -0.020674 -0.079322 0.436209
-0.385777 0.513322 -0.206229 0.000000
-0.395923 -0.207524 0.215314 0.000000
0.336669 0.553846 -0.206229 0.517030
0.054765 -0.856478 -0.174288 0.870625
